,content,background,textcolor,font,label
1,"عباس 
امیر انتظام  شیرمردی در وادی ایران نوین. 
روحش شاد
یادش گرامیباد",pattern_f,blue,iransans,monasebat
2,صدا و سیما. شبکه خبر  صدا و سیما؛ شبکه العالم,default,white,iphone,siyasi
3,"که تو دنیای منی سبز بمانی همه عمر

                     تولدت خیلی مبارک باشه عزیزم ❤️❤️",default,white,suls,monasebat
4,"تخفیف ویژه کلاسهای خصوصی ارایشگری  ظرفیت فقط 4نفر   تخفیف ویژه  فقط تا اخر این ماه
   مبلغ ثابت نام فقط 2میلیون
دوره ده روز",base_background_gd,red,dastnevis,tablighat va business
5,"چقدر قشنگه یه نفر تو زندگیت باشه که هم عشقت باشه و هم رفیقت هم همدمت باشه و هم همه کس ات... و تو نیازی به هیچ کس نداشته باشی... کسی که بودنش می ارزه به نبودن همه❤️



  ۱۳۹۸/۵/۲۴
۱۴۰۱/۵/۳۴",default,black,dastnevis,asheqane
6,امروز فرصتی است برای رسیدن به هدفت پس خوب ازش استفاده کن .,pattern_b,default,default,angizeshi
7,"ضارب «سلمان رشدی» اهل کجاست؟

 🔺«علی قاسم تحفه» مقام محلی منطقه «یارون» در جنوب لبنان: پدر و مادر «هادی مطر» که سلمان رشدی را با چاقو زد، اهل یارون هستند اما هادی در آمریکا به دنیا آمده و در آنجا زندگی کرده و اصلاً به لبنان نیامده است.  #سوشیال مدیا",base_background_gb,yellow,dastnevis,siyasi
8,"در اين سرای بی کسی کسی به در نمیزند 
به دشت پر ملال ما پرنده پر نمی زند 
یکی ز شب گرفتگان چراغ بر نمی کند
کسی به کوچه سار شب در سحر نمیزند 


سایه",base_background_gb,white,nastaliq,sher va adabiyat
9,مشکل از اونجایی شروع شد که استوری نمیذاشت تا بحث رو شروع کنیم,pattern_j,black,pooya,majazi
10,"امروز تولدمه!!!
همه عزادارن اما من از درون شادم",pattern_p,black,dastnevis,monasebat
11,"فرارسیدن عاشورای حسینی به تمام 
مسلمانان جهان تسلیت باد  پروگرام هشتگ",black_background,default,ordibehesht,monasebat
12,"🔺️ واتس‌اپ امکان مشاهده اعضای حذف شده از گروه‌ها را فراهم می‌کند.

🔸 این ویژگی جدید در #واتس‌اپ به شما اجازه می‌دهد تا قادر به مشاهده تعداد اعضایی که گروه را ترک کرد‌ه‌اند یا از آن حذف شده‌اند، باشید. در حال حاضر این ویژگی برای نسخه جدید بتای واتس‌اپ در iOS منتشر شده است.

🔹 پیام‌رسان پر کاربر واتس‌اپ به صورت همزمان روی چند قابلیت مهم مانند آواتارهای سفارشی کار می‌کند تا بتواند تجربه بهتری را به کاربرانش ارائه دهد. در کنار این موارد، واتس‌اپ روی بهبود تجربه استفاده از گروه‌ها نیز تمرکز ویژه‌ای دارد. به عنوان مثال سقف اعضای گروه‌ها در این پیام‌رسان از 100 نفر به 512 نفر افزایش یافته است.",default,default,default,majazi
13,"افزایش طلاق در پرندگان به علت 
تغییرات آب و هوا

 آلباتروس‌ها، یکی از وفادارترین
 پرندگان تک‌همسر جهان، بیش
 از پیش «طلاق» می‌گیرند. 
به گفته محققان، گرمای جهانی
 ممکن است در این موضوع
 نقش داشته باشد

در یک مطالعه جدید انجمن
 سلطنتی لندن، محققان به این
 نتیجه رسیدند تغییرات اقلیمی
 و گرم شدن آب‌ها، نرخ جدا شدن 
آلباتروس را بالاتر می‌برد  

برای پرندگان دریایی، آب های گرمتر به معنای ماهی و غذای کمتر است. تعداد بیشتری از جوجه‌ها از بین می‌روند و هورمون استرس پرندگان افزایش می‌یابد. در نهایت، آنها مجبور به شکار در مناطق دورتر می‌شوند


  #سوشال مدیا",base_background_ge,blue,khodkar,elmi
14,اینجا منظور از کمال گرایی چیه؟,white_background,black,sahel,ejtemayi
